predicted_rank,player_id,player_name,team,position,games,predicted_expected_votes,total_coaches_votes,avg_expected_votes_per_game,number_of_matches_predicted_above_0_5,number_of_matches_predicted_above_1_0,number_of_matches_predicted_above_2_0,best_predicted_match_votes,best_predicted_match_id
611,13196,Archer Reid,West Coast,CHF,6,0.02391597809803678,0.0,0.003985996349672797,0,0,0,0.012900793199176318,17101
612,12986,Mitch Knevitt,Geelong,FPL,2,0.02359232300731498,0.0,0.01179616150365749,0,0,0,0.02359232300731498,17060
613,12870,Matt Flynn,West Coast,RK,4,0.023401823145344954,0.0,0.005850455786336238,0,0,0,0.023401823145344954,17085
614,13241,Vigo Visentini,Essendon,RK,3,0.02315306443332839,0.0,0.0077176881444427975,0,0,0,0.018547957260368012,17243
615,13355,Caleb Lewis,Gold Coast,INT,2,0.021944139148818792,0.0,0.010972069574409396,0,0,0,0.021944139148818792,17224
616,13343,Matt Hill,Hawthorn,FPL,2,0.021669732275062074,0.0,0.010834866137531037,0,0,0,0.021669732275062074,17207
617,13151,Jack Hutchinson,West Coast,FPR,6,0.02038646055054721,0.0,0.0033977434250912018,0,0,0,0.02038646055054721,17138
618,13351,Zane Peucker,Richmond,INT,2,0.020016009828849372,0.0,0.010008004914424686,0,0,0,0.020016009828849372,17227
619,13005,James Tunstill,Brisbane Lions,INT,11,0.01993045573172945,0.0,0.0018118596119754047,0,0,0,0.013209890272904836,17068
620,13209,Sandy Brock,West Coast,INT,6,0.019380125379597712,0.0,0.003230020896599619,0,0,0,0.010905558236747392,17101
621,13356,Archie Ludowyke,Adelaide,INT,2,0.019089853977617414,0.0,0.009544926988808707,0,0,0,0.019089853977617414,17244
622,13350,Ollie Greeves,Hawthorn,INT,4,0.019012551317593898,0.0,0.0047531378293984745,0,0,0,0.017196169446263752,17207
623,13211,Tom Gross,West Coast,INT,4,0.01877153528911077,0.0,0.004692883822277692,0,0,0,0.011494521412867165,17254
624,12727,Mitch Hinge,Adelaide,INT,1,0.018608737462811505,0.0,0.018608737462811505,0,0,0,0.018608737462811505,17095
625,13116,Angus Hastie,St Kilda,CHB,7,0.01804916134795208,0.0,0.002578451621136012,0,0,0,0.010571900478149578,17186
626,13311,Will McCabe,Hawthorn,INT,4,0.017999905247301017,0.0,0.004499976311825254,0,0,0,0.017999905247301017,17207
627,12813,Harry Schoenberg,West Coast,INT,5,0.017948276895724067,0.0,0.0035896553791448134,0,0,0,0.011074614147682443,17101
628,13056,Ollie Lord,Port Adelaide,FF,1,0.01686896592959975,0.0,0.01686896592959975,0,0,0,0.01686896592959975,17070
629,13295,Daniel Annable,Brisbane Lions,INT,3,0.0158327400149565,0.0,0.0052775800049854995,0,0,0,0.015565927617998628,17068
630,12732,Ryan Gardner,Western Bulldogs,BPR,2,0.014492582736975202,0.0,0.007246291368487601,0,0,0,0.014492582736975202,17260
631,13264,Rhys Unwin,Essendon,FPL,4,0.014248286768643054,0.0,0.0035620716921607636,0,0,0,0.01245258195966881,17243
632,12820,Jeremy Sharp,Fremantle,EMERG,2,0.014244545528224161,0.0,0.007122272764112081,0,0,0,0.014244545528224161,17123
633,12330,Adam Saad,Carlton,HBFL,3,0.01419978641808154,0.0,0.004733262139360514,0,0,0,0.01419978641808154,17059
634,12883,Rhyan Mansell,Richmond,FPR,6,0.014103829097381997,0.0,0.0023506381828969996,0,0,0,0.014103829097381997,17227
635,12596,Lachie Fogarty,Carlton,INT,2,0.014070787808441877,0.0,0.007035393904220939,0,0,0,0.014070787808441877,17059
636,13171,Ashton Moir,Carlton,FPR,2,0.013665335013176051,0.0,0.006832667506588026,0,0,0,0.013665335013176051,17059
637,12757,Brandon Zerk-Thatcher,Port Adelaide,FB,4,0.013217100026302192,0.0,0.003304275006575548,0,0,0,0.01184595313111827,17214
638,13201,Isaac Keeler,St Kilda,INT,2,0.012969772793221868,0.0,0.006484886396610934,0,0,0,0.006531789404264035,17158
639,13229,Angus Clarke,Essendon,WL,6,0.012372630837320903,0.0,0.0020621051395534836,0,0,0,0.011486746658372305,17220
640,12612,Matt Guelfi,Essendon,CHF,3,0.01200988996676395,0.0,0.004003296655587983,0,0,0,0.008488043433408341,17150
641,13226,Cody Angove,Greater Western Sydney,INT,1,0.011546373346062094,0.0,0.011546373346062094,0,0,0,0.011546373346062094,17254
642,13349,Flynn Riley,Carlton,RK,1,0.010231309331823807,0.0,0.010231309331823807,0,0,0,0.010231309331823807,17207
643,13358,Aidan Schubert,Hawthorn,FF,1,0.00872271879616928,0.0,0.00872271879616928,0,0,0,0.00872271879616928,17233
644,13242,Jasper Alger,Richmond,FF,8,0.007822527674575256,0.0,0.000977815959321907,0,0,0,0.007822527674575256,17150
