strategy,baseline,mean_paired_mse_diff,median_paired_mse_diff,pct_obs_improved,boot_mean_mse_diff,boot_ci95_lo,boot_ci95_hi,n_obs,n_matches,season_2022_mse_diff,season_2023_mse_diff,season_2024_mse_diff,season_2025_mse_diff
expanding_exclude_2020,expanding_all,0.0007597099836226187,0.0,33.525566067821835,0.0007701984963489327,-7.924068151438419e-05,0.001634275434960359,37628,818,0.0011384594262173905,0.0013422826975002836,0.00018081910625644486,0.0003919695477408544
trailing_8,expanding_all,3.76478375957693e-05,0.0,18.51546720527267,8.947441333090962e-06,-0.0005230937297928812,0.0006796172288522179,37628,818,0.0,0.0,-0.00028616747420342516,0.00043705144812353534
trailing_6,expanding_all,0.0009240592584911584,0.0,38.94174550866376,0.00092903622063168,-2.1743777319612833e-05,0.001887314890637944,37628,818,-0.0012782982929041527,0.0009311241318095199,0.003986725014335198,-4.374387286974277e-05
trailing_4,expanding_all,0.001460491154265301,0.0,35.00318911448921,0.0014893554306586207,0.00024799841140604593,0.0026497922373663048,37628,818,0.0014164169921120273,0.001674673784776155,0.001514265717184801,0.0012335957419656164
decay_005,expanding_all,0.0010616666343100053,0.0,36.28946529180397,0.0010553275357798114,0.0003159050025539033,0.0017448977518440302,37628,818,0.0002356775870074548,0.0008770115160694564,0.0022888204006267223,0.0008080191159320361
decay_010,expanding_all,0.0006563363724782326,0.0,33.13489954289359,0.0006648051734897382,-0.00018525048590702474,0.0014604267024774414,37628,818,0.0005099756108829927,0.00045576312413834504,0.0017559036674599713,-0.00010634487441014478
decay_020,expanding_all,0.0008193791041898905,0.0,33.17742106941639,0.0007981799895755915,-3.8807051805195506e-05,0.0016480550608814536,37628,818,0.0016660022493046862,0.0009891534051128426,-0.0002516939247975508,0.0009113084924259086
decay_035,expanding_all,0.0014537058951150825,0.0,34.176676942702244,0.0014685522461156597,0.000495187521874429,0.0025541368329067083,37628,818,0.001086819362898247,0.0028572078410073957,0.0011243838312414048,0.0007269500591979752
