,base_prediction,base_no_coach_prediction,expected_coach_prediction_model,coach_residual_prediction_model,coach_components_prediction_model,coach_intelligence_prediction_model
base_prediction,1.0,0.9479370040806633,0.992915605646981,0.9945109766277662,0.9912694873261191,0.991974404394133
base_no_coach_prediction,0.9479370040806633,1.0,0.9499703125241293,0.9514963529298675,0.9530968565377501,0.9514873825003711
expected_coach_prediction_model,0.992915605646981,0.9499703125241293,1.0,0.9929223925135408,0.9945242473111607,0.9948628755442441
coach_residual_prediction_model,0.9945109766277662,0.9514963529298675,0.9929223925135408,1.0,0.9931400144410863,0.9931872299859262
coach_components_prediction_model,0.9912694873261191,0.9530968565377501,0.9945242473111607,0.9931400144410863,1.0,0.9952633516423588
coach_intelligence_prediction_model,0.991974404394133,0.9514873825003711,0.9948628755442441,0.9931872299859262,0.9952633516423588,1.0
