player_position,n,mean,std,mae,rmse
BPL,1635,1.895059482626433e-05,0.254927410177036,0.06182299361753921,0.2548494395049128
BPR,1636,-0.008279612797099403,0.2075363837922158,0.0474971463352176,0.20763808743629644
C,1636,0.054413570339979934,0.6717189376405011,0.36373777377618166,0.6737146052529085
CHB,1636,0.009359287955255332,0.3517467978984851,0.10879583613854796,0.3517638114982019
CHF,1636,0.0029454392595101003,0.34339597001741795,0.10449006455175838,0.3433036398187201
FB,1636,-0.0045668327911016805,0.23353452758622095,0.05636250094241722,0.2335078052684177
FF,1636,-0.005407887526870891,0.33981397328326984,0.11851150582706779,0.3397531439734328
FPL,1636,-0.004131526594453712,0.3302280772025268,0.09582014903335077,0.33015298824835854
FPR,1636,-0.002197728501434855,0.3343059098792851,0.09684796256787949,0.33421094859767136
HBFL,1635,-0.001751013722448447,0.2937784112069978,0.08660028012224116,0.29369377682534403
HBFR,1636,-0.001045465373230814,0.33527011524347544,0.1054615778716456,0.335169263684171
HFFL,1636,-0.016132016006707967,0.29880315152546244,0.09086965744587996,0.29914710619268103
HFFR,1636,-0.008439043790044981,0.3230181477350932,0.10172128108649525,0.32302966315462167
INT,6544,-0.009500162939142383,0.223967833919164,0.054462850424611235,0.2241521323712334
R,1636,0.03598353556673439,0.598810193866944,0.30523831967892123,0.5997076671714519
RK,1635,-0.027564411243378367,0.42155045478287834,0.16148875926930273,0.42232202731136614
RR,1636,0.030598894674819643,0.6457865455918937,0.3586275837606773,0.6463138867740443
SUB,1639,-0.012569061475166838,0.02758586412567209,0.012574101724630828,0.030306713953938216
WL,1636,-0.0009033641968562437,0.30596853450387135,0.08502196293347457,0.3058763430286801
WR,1636,-0.0023259215949277207,0.310679708148624,0.09983710882841343,0.31059345173679725
