team_won,coaches_votes,P_brownlow_0,P_brownlow_1,P_brownlow_2,P_brownlow_3,E_brownlow,n
0,0,0.9929901335116189,0.0042342835146579145,0.0022083105411373812,0.0005672724325857493,0.010352721894689925,49359
0,1,0.8842897460018815,0.0658513640639699,0.04045155221072436,0.00940733772342427,0.17497648165569143,1063
0,2,0.8293838862559242,0.09834123222748815,0.052132701421800945,0.02014218009478673,0.26303317535545023,844
0,3,0.7619808306709265,0.12300319488817892,0.08306709265175719,0.03194888178913738,0.38498402555910544,626
0,4,0.6850220264317181,0.14757709251101322,0.11674008810572688,0.05066079295154185,0.5330396475770925,454
0,5,0.5818181818181818,0.16883116883116883,0.18181818181818182,0.06753246753246753,0.7350649350649351,385
0,6,0.46474358974358976,0.21474358974358973,0.21474358974358973,0.10576923076923077,0.9615384615384616,312
0,7,0.45714285714285713,0.18775510204081633,0.23265306122448978,0.12244897959183673,1.0204081632653061,245
0,8,0.2948717948717949,0.19230769230769232,0.2948717948717949,0.21794871794871795,1.435897435897436,234
0,9,0.23353293413173654,0.1377245508982036,0.25748502994011974,0.3712574850299401,1.7664670658682635,167
0,10,0.12669683257918551,0.07239819004524888,0.21266968325791855,0.5882352941176471,2.262443438914027,221
1,0,0.9832651095593546,0.009390801830002408,0.004996388153142307,0.002347700457500602,0.02642667950878883,33224
1,1,0.8877551020408163,0.05539358600583091,0.03571428571428571,0.021137026239067054,0.1902332361516035,1372
1,2,0.8329718004338394,0.08604483007953724,0.05639913232104121,0.024584237165582067,0.2725958062183659,1383
1,3,0.7898193760262726,0.09277504105090312,0.08456486042692939,0.03284072249589491,0.36042692939244664,1218
1,4,0.6973434535104365,0.13092979127134724,0.11480075901328274,0.056925996204933584,0.5313092979127134,1054
1,5,0.5761904761904761,0.16666666666666666,0.15595238095238095,0.10119047619047619,0.7821428571428571,840
1,6,0.48748159057437407,0.15905743740795286,0.2106038291605302,0.14285714285714285,1.0088365243004418,679
1,7,0.37850467289719625,0.17601246105919002,0.2632398753894081,0.1822429906542056,1.249221183800623,642
1,8,0.2891246684350133,0.14456233421750664,0.3156498673740053,0.2506631299734748,1.5278514588859415,754
1,9,0.2,0.13125,0.228125,0.440625,1.909375,640
1,10,0.10305343511450382,0.06965648854961833,0.14790076335877864,0.6793893129770993,2.4036259541984735,1048
