experiment,2022,2023,2024,2025,mean_rmse,std_rmse,delta_vs_base,delta_vs_ref_0_358172
base,0.3179154805039893,0.3844556697255274,0.37115335920199166,0.3591624504581127,0.35817173997240526,0.024904393863051297,0.0,-2.600275947339803e-07
base_no_coach,0.33303741603250514,0.3943035687161138,0.38271395888797033,0.36680554798756787,0.3692151229060393,0.023055808443574497,0.01104338293363405,0.011043122906039315
base_plus_components,0.3153137594342417,0.3809057262528894,0.37062141099178547,0.3566204989910542,0.35586534891749266,0.02494876513122012,-0.0023063910549125932,-0.002306651082507327
base_plus_expected,0.31696097212394625,0.38345080332925274,0.3730292737977864,0.3568865833700973,0.3575819081552707,0.025290140190565746,-0.0005898318171345673,-0.0005900918447293013
base_plus_residual,0.31643871457229394,0.38315226357052823,0.3713050434337723,0.3577762148055105,0.35716805909552624,0.025170829182996058,-0.0010036808768790206,-0.0010039409044737546
coach_intelligence,0.31692384739518387,0.3823851377498099,0.36898075396761837,0.357012763808768,0.35632562573034504,0.024455177018918,-0.001846114242060215,-0.001846374269654949
