experiment,validation_year,match_sum_abs_max,top3_recall,rmse_raw,rmse_allocated,zero_vote_RMSE,poller_RMSE,n_validation_rows
base,2022,2.085975836507714e-11,0.7289562289562289,0.31933466987070797,0.3179154805039893,0.17007118313561512,1.0654405522134072,9108
base,2023,2.015099198615644e-11,0.6328502415458938,0.3865679233945869,0.3844556697255274,0.22437855072551194,1.242875280437058,9522
base,2024,2.0511592424554692e-11,0.6247987117552335,0.374099735939302,0.37115335920199166,0.2053329495634168,1.2279755522230749,9522
base,2025,2.164046719599355e-11,0.6456310679611652,0.36034838053495866,0.3591624504581127,0.20102819642180197,1.182675242848968,9476
base_no_coach,2022,1.9743318091514084e-11,0.7003367003367005,0.3359593080922269,0.33303741603250514,0.17711630719772947,1.1184993416969398,9108
base_no_coach,2023,1.9480417279282847e-11,0.6086956521739131,0.39892244193241166,0.3943035687161138,0.22240301829513862,1.2942115474156748,9522
base_no_coach,2024,2.1475266009929328e-11,0.6231884057971016,0.3873271929303843,0.38271395888797033,0.20763883356458115,1.275894686785155,9522
base_no_coach,2025,2.2041035663278308e-11,0.6423948220064724,0.3695583977167259,0.36680554798756787,0.19864855797223993,1.2236961128011306,9476
base_plus_expected,2022,1.999111987061042e-11,0.7121212121212122,0.3182457240513088,0.31696097212394625,0.16975221199047644,1.0618028507583155,9108
base_plus_expected,2023,1.9050538924147986e-11,0.6296296296296297,0.3861213079861114,0.38345080332925274,0.22603810572578711,1.2337718818150938,9522
base_plus_expected,2024,1.9476864565604046e-11,0.6312399355877618,0.377145274081063,0.3730292737977864,0.20871574077292313,1.2285169107328842,9522
base_plus_expected,2025,2.1445067943659524e-11,0.6504854368932039,0.3580095143877477,0.3568865833700973,0.19807279394255314,1.1792536867035515,9476
base_plus_residual,2022,1.7836399024417915e-11,0.7205387205387206,0.31777965486747256,0.31643871457229394,0.16844440714778444,1.0623994661166414,9108
base_plus_residual,2023,1.9380053117856733e-11,0.6328502415458938,0.3855628299699705,0.38315226357052823,0.22212384185597403,1.2425086421493166,9522
base_plus_residual,2024,2.0028423364237824e-11,0.6328502415458938,0.3742013714769313,0.3713050434337723,0.2055586497435617,1.2281374255379993,9522
base_plus_residual,2025,2.0549784096601798e-11,0.6440129449838189,0.3590658063089813,0.3577762148055105,0.1988333597064518,1.1815503096106443,9476
base_plus_components,2022,2.2371438035406754e-11,0.723905723905724,0.3167506740380596,0.3153137594342417,0.16749736837553225,1.0594127988538724,9108
base_plus_components,2023,1.9063861600443488e-11,0.6376811594202898,0.38315891353720044,0.3809057262528894,0.2216233735480453,1.2331631925285995,9522
base_plus_components,2024,2.2578383607196884e-11,0.6328502415458938,0.3745941432169116,0.37062141099178547,0.2071028818807625,1.2212332066061058,9522
base_plus_components,2025,2.1322499321740906e-11,0.6537216828478966,0.35787105628219734,0.3566204989910542,0.19735632736237246,1.1797410642425539,9476
coach_intelligence,2022,2.1618262735501048e-11,0.7272727272727273,0.3183237258345236,0.31692384739518387,0.1699105290800287,1.0612698483154113,9108
coach_intelligence,2023,2.0683010859556816e-11,0.6296296296296298,0.38496209550830685,0.3823851377498099,0.22333329988601694,1.2357591866643833,9522
coach_intelligence,2024,1.950972716713295e-11,0.642512077294686,0.37221893638156084,0.36898075396761837,0.20586979694072316,1.216595057411974,9522
coach_intelligence,2025,2.1740831357419665e-11,0.6391585760517801,0.35843174140992085,0.357012763808768,0.1977586797910644,1.180594189158289,9476
