strategy,2022,2023,2024,2025,mean_rmse,std_rmse,worst_season_rmse,recent2_mean_rmse,delta_vs_v21_champion
expanding_all,0.3153137594342417,0.3809057262528894,0.37062141099178547,0.3566204989910542,0.35586534891749266,0.024948765131220123,0.3809057262528894,0.36362095499141983,3.489174926762928e-07
expanding_exclude_2020,0.31711390116923643,0.3826636316528413,0.37086527121287377,0.35716963735509394,0.3569531103475113,0.024707228687323994,0.3826636316528413,0.36401745428398385,0.0010881103475113285
trailing_8,0.3153137594342417,0.3809057262528894,0.3702351452946337,0.35723274170875213,0.35592184317262926,0.02489879490698188,0.3809057262528894,0.3637339435016929,5.6843172629272853e-05
trailing_6,0.31328017587401014,0.3821260216526095,0.3759613747446367,0.3565591625912294,0.35698168371562145,0.026937273031885166,0.3821260216526095,0.36626026866793304,0.0011166837156214582
trailing_4,0.3175518601436101,0.3830976978226537,0.37265868566655835,0.3583458888317181,0.35791353311613505,0.024904383410888548,0.3830976978226537,0.36550228724913825,0.002048533116135065
decay_005,0.31568725738547365,0.3820552104190055,0.37369646865627276,0.35775158897838666,0.35729763135978465,0.02556114671406471,0.3820552104190055,0.3657240288173297,0.001432631359784664
decay_010,0.3161214046840831,0.3815035195334106,0.3729827528894626,0.356471366909347,0.35676976100407576,0.02513462665037974,0.3815035195334106,0.3647270598994048,0.0009047610040757714
decay_020,0.31794460073707737,0.38220194360750437,0.37028169865758204,0.3578959189388088,0.35708104048524314,0.024174584241082965,0.38220194360750437,0.3640888087981954,0.0012160404852431528
decay_035,0.31703246876535074,0.3846379858168567,0.3721352094558956,0.35763826747123467,0.3578609828773344,0.02543510663229001,0.3846379858168567,0.3648867384635651,0.0019959828773344346
