coaches_votes_bucket,n,mean,std,mae,rmse
0,32285,-0.004109794091842432,0.1893073272876593,0.04064218378180384,0.1893490019618771
1,929,0.05265923873694696,0.5576393398111763,0.26379243992328993,0.5598213120808854
2,824,0.02610027478254769,0.6122947299763729,0.348460590805463,0.6124794519843451
3,686,0.046761770252649916,0.7003152975399795,0.44492455150004717,0.7013652755890485
4,523,-0.0007774399672840527,0.8337515098633752,0.5948705754848758,0.8329544057219439
5,468,0.03449918840959993,0.8729206615449101,0.6763813973691789,0.8726697488533167
6,386,0.08327081886095968,1.0059814630755317,0.8140269045874645,1.0081225000091556
7,337,-0.012188004004273759,1.0078381124709146,0.837886505254369,1.006415495731981
8,397,0.007519268132776948,1.0269917067918737,0.8645202939795216,1.0257250118862082
9,308,-0.06513317366042792,1.1061892878733595,0.9289438602800548,1.106311062005113
10,485,0.007176781215420348,0.9838334267275144,0.772358521843343,0.9828448450614109
