player_position,n,mean,std,mae,rmse
BPL,1635,0.0005245417990007444,0.2511735936920341,0.06039779009005374,0.2510973183310076
BPR,1636,-0.008435412765548314,0.20872803833075412,0.04765968027069618,0.20883467082242022
C,1636,0.0554306719743735,0.674181356916746,0.36416119439781025,0.6762508684962267
CHB,1636,0.010278885144160125,0.35203443233062187,0.10917366577184227,0.352076903910578
CHF,1636,0.002022541592267371,0.3462852758165629,0.10521344048272228,0.3461853349958561
FB,1636,-0.005277159157739601,0.23315340430398307,0.05579795569553046,0.23314186807982668
FF,1636,-0.005213889555446304,0.34118553883430475,0.11930429865905172,0.3411210969456306
FPL,1636,-0.0030590661710619468,0.33124737290845513,0.09560838316692784,0.33116024970164165
FPR,1636,-0.001389296036418785,0.33479711269966617,0.09649420138346607,0.3346976586288392
HBFL,1635,-0.0025106612138569785,0.2926487094039299,0.08641782500184707,0.29256997339506247
HBFR,1636,-0.001540360249241502,0.3365295922402559,0.10594790923221048,0.33643025149720285
HFFL,1636,-0.01551529123438804,0.29888575448570237,0.09039428989564491,0.2991969487816451
HFFR,1636,-0.007992674926094038,0.3249170340933758,0.10154157364537497,0.324916038226946
INT,6544,-0.009546781162836,0.22391578551384986,0.05419244724388671,0.2241021158208994
R,1636,0.03571153394481622,0.6010708525805367,0.3062291764036486,0.6019473801018298
RK,1635,-0.029192598242014475,0.42106634136180526,0.16164106156742572,0.42194861437278336
RR,1636,0.029344018462156563,0.6438225156252071,0.356721033088458,0.644294293506258
SUB,1639,-0.012029115008143998,0.021759671969912908,0.012106410647149934,0.024857474663039083
WL,1636,-0.0009891180450790774,0.30285219802265767,0.0841952082162198,0.3027612408578984
WR,1636,-0.0019774252768593216,0.31371155154875663,0.10025633458240898,0.31362189329834744
