season,rmse,mae,correlation,n,resid_mean,resid_std
2022,1.0927480554366913,0.4588319091780774,0.8288875854625284,9108,0.017788675813672855,1.0926032562982164
2023,1.0365830262964646,0.4392226318430218,0.8470121304119552,9522,0.006698247551045943,1.036561384523696
2024,1.0357975007718865,0.4435345275530126,0.8477335915973755,9522,-0.024430117405504097,1.0355093587065447
2025,0.9724047007149079,0.41083422039710255,0.8689907418566868,9476,-0.004606582363255592,0.972393789249695
