feature,recent_mean,2026_mean,standardized_mean_diff,psi,missingness_shift,recent_p10,recent_p50,recent_p90,2026_p10,2026_p50,2026_p90,suspicious
inside_fifties,2.260764375876578,2.3038227263180002,0.02201248040242671,0.002318118394364286,0.0,0.0,2.0,5.0,0.0,2.0,5.0,False
clearances,1.6158485273492287,1.5687880697332492,-0.020866115999846963,0.0017780046073300288,0.0,0.0,1.0,5.0,0.0,1.0,5.0,False
coach_positive_residual,0.21188961965328929,0.1971630045655751,-0.018927304064018605,0.010937196592178604,0.0,0.0,0.0,0.21854516615249145,0.0,0.0,0.19753701137384816,False
turnovers,2.8624474053295934,2.8276622558286073,-0.017569082828809104,0.0017096435622861218,0.0,1.0,3.0,6.0,1.0,3.0,5.0,False
clangers,2.464726507713885,2.434362528880487,-0.016778065752913195,0.001917856553461974,0.0,0.0,2.0,5.0,0.0,2.0,5.0,False
hitouts,1.6635694249649369,1.551459777357698,-0.016777327216315467,6.099521700271763e-05,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
spoils,1.364516129032258,1.3310228943499265,-0.016554826873750633,0.0003961479787704111,0.0,0.0,1.0,4.0,0.0,1.0,4.0,False
rating_points,8.931840813464238,8.841535391724427,-0.016370997180423993,0.004521490106297953,0.0,2.2,8.5,16.1,2.5,8.4,15.9,False
intercepts,2.8758064516129034,2.8395295106070155,-0.013918790195562124,0.004308937636433074,0.0,0.0,2.0,7.0,0.0,2.0,6.0,False
clear_10p,0.010553997194950912,0.00924175593362739,-0.012841079624745433,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ruck_contests,4.14554698457223,3.952846040747742,-0.012653363841282963,4.286220843008736e-07,0.0,0.0,0.0,6.0,0.0,0.0,6.0,False
kicks,9.204873772791023,9.245956731779039,0.00849412102479973,0.006258717289453805,0.0,3.0,9.0,16.0,4.0,9.0,16.0,False
match_round,12.414516129032258,12.36231884057971,-0.007336562419811645,0.0015822017426100619,0.0,3.0,12.0,22.0,2.0,12.0,22.0,False
coach_residual,-0.007450730688231437,-0.0007867236929242,0.0065627303962115,0.013375329940908606,0.0,-0.676477377963808,-0.0103414203920092,0.21854516615249145,-0.5757391483332938,-0.00588067684387511,0.19753701137384816,False
goals_5p,0.0064516129032258064,0.006931316950220542,0.005991521280108129,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
rebounds,1.6945301542776998,1.7059441293845832,0.005598150813855682,0.000907571569969983,0.0,0.0,1.0,5.0,0.0,1.0,5.0,False
f50_ground_ball_gets,0.6576437587657784,0.6531190926275993,-0.0044853439435404195,6.514336707415004e-05,0.0,0.0,0.0,2.0,0.0,0.0,2.0,False
hitouts_to_advantage,0.45690743338008416,0.4483301827347196,-0.004350208832515335,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
expected_coaches_votes,0.6596246437317096,0.6529606367364024,-0.004027753890367784,0.013023816660284954,0.0,-0.03452087736116709,0.02504902526086605,2.165093561035437,-0.034219428673434006,0.01796565710931175,2.137225470468457,False
disp_30p,0.04589761570827489,0.046313799621928164,0.001988772575624174,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
tackles_inside_fifty,0.47026647966339413,0.47101449275362317,0.0008807464509967089,5.7544057427534865e-05,0.0,0.0,0.0,2.0,0.0,0.0,2.0,False
match_margin,0.03225806451612903,0.0,-0.0007733747997588128,0.007936495237898501,0.0,-53.0,0.0,53.0,-54.0,0.0,54.0,False
career_votes_prior,15.10883590462833,15.1256038647343,0.0005797882011886194,0.03033122915145996,0.0,0.0,2.0,48.0,0.0,2.0,50.0,False
is_back,0.26083450210378684,0.26065952530980885,-0.0003984918821190328,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
supercoach_score,71.75736325385694,71.746481831548,-0.0003460491721800015,0.01598650386023093,0.0,32.0,70.0,113.0,36.0,70.0,110.0,False
is_forward,0.2608695652173913,0.2607645452636001,-0.0002391618801923653,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
time_on_ground_percentage,78.25974754558204,78.26233984457046,0.0001691660705986014,0.05323807310820268,0.0,64.0,81.0,92.0,66.0,80.0,90.0,False
disp_35p,0.011220196353436185,0.011237135055660576,0.00016081349742990512,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
is_midfielder,0.26083450210378684,0.2608695652173913,7.98526811215484e-05,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
coaches_votes__match_pct,0.5108695652173911,0.5108695652173914,1.2704581386757598e-15,0.001987546992874487,0.0,0.43478260869565216,0.44565217391304346,0.9130434782608695,0.43478260869565216,0.44565217391304346,0.9130434782608695,False
contested_possessions__match_share,0.021739130434782605,0.02173913043478261,5.112130211842777e-16,0.005969590310386182,0.0,0.007194244604316547,0.01937984496124031,0.04,0.007547169811320755,0.01935483870967742,0.039301310043668124,False
goal_assists__match_pct,0.5108695652173914,0.5108695652173912,-4.863451967323628e-16,0.08269371916029625,0.0,0.33695652173913043,0.3804347826086957,0.8695652173913043,0.31521739130434784,0.3695652173913043,0.8695652173913043,False
clearances__match_pct,0.5108695652173912,0.5108695652173914,4.0734216179657143e-16,0.005191461436947618,0.0,0.21739130434782608,0.5217391304347826,0.9130434782608695,0.21739130434782608,0.532608695652174,0.9130434782608695,False
score_involvements__match_pct,0.5108695652173912,0.5108695652173914,3.890175601588279e-16,0.00413512202054247,0.0,0.11956521739130435,0.5108695652173914,0.9130434782608695,0.11956521739130435,0.5,0.9021739130434783,False
rating_points__match_pct,0.5108695652173915,0.5108695652173914,-3.8474553837591975e-16,5.995440986317797e-05,0.0,0.10869565217391304,0.5108695652173914,0.9130434782608695,0.10869565217391304,0.5108695652173914,0.9130434782608695,False
afl_fantasy_score__match_share,0.02173913043478261,0.021739130434782608,-3.789920496238221e-16,0.014156264664499449,0.0,0.010241162867525603,0.02127659574468085,0.03389830508474576,0.0113531541052821,0.02119240422218931,0.033028556913724805,False
disposals__match_share,0.021739130434782608,0.02173913043478261,3.3970223168983213e-16,0.005267749883972561,0.0,0.009589041095890411,0.02053350599874265,0.036061026352288486,0.010309278350515464,0.02040816326530612,0.03529411764705882,False
pressure_acts__match_share,0.02173913043478261,0.021739130434782608,-3.0257451915655833e-16,0.0024386284290847183,0.0,0.008360738208140412,0.020089285714285716,0.03731343283582089,0.008756567425569177,0.020338983050847456,0.036808488035481896,False
metres_gained__team_share,0.043478260869565216,0.04347826086956521,-2.6994832971564526e-16,0.006783531347375783,0.0,0.013458317126587165,0.03965093964270422,0.07835062305696279,0.015157809591960543,0.039631289349133764,0.07689988464788874,False
tackles__match_share,0.021739130434782605,0.021739130434782608,1.9130671664313368e-16,0.008045752842252512,0.0,0.0,0.018018018018018018,0.046296296296296294,0.0,0.01834862385321101,0.046153846153846156,False
inside_fifties__match_share,0.021739130434782608,0.02173913043478261,1.8515374541105898e-16,0.0393037286298152,0.0,0.0,0.018867924528301886,0.047619047619047616,0.0,0.018691588785046728,0.04672897196261682,False
intercepts__match_share,0.021739130434782608,0.02173913043478261,1.7788902643655475e-16,0.006814296270350837,0.0,0.0,0.01652892561983471,0.04929577464788732,0.0,0.01694915254237288,0.047619047619047616,False
coaches_votes__match_share,0.021739130434782608,0.021739130434782605,-5.32392937495075e-17,6.0901041642088796e-05,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,False
contested_possessions__match_z,-6.275173617446537e-18,5.96969322209704e-18,1.2379956297486037e-17,0.00317801582245925,0.0,-1.0949990395188678,-0.1792424904456622,1.3641742449450247,-1.0762192891805245,-0.1822402946260656,1.3461053067559172,False
supercoach_score__match_z,-1.2877341393618576e-17,-7.042372472942602e-18,5.899342245346168e-18,0.0028304731075379915,0.0,-1.2404834914925476,-0.05212928797726934,1.3134432683862074,-1.2167656302641863,-0.07529783415652708,1.3358168463518876,False
intercepts__match_z,-1.4481169886415085e-18,4.337355231679881e-18,5.84929948087276e-18,0.020696438981292163,0.0,-1.0698654207246805,-0.2567661033523183,1.4259675485152357,-1.0940667363382393,-0.24185983144209014,1.4000788570032234,False
goal_assists__match_z,2.3356725623250137e-18,7.438797413472483e-18,5.159424227775065e-18,0.08158899465185894,0.0,-0.6618026784904376,-0.5193264664177006,1.3620104492139975,-0.6950577759048213,-0.5387811471275369,1.3620104492139975,False
metres_gained__match_z,2.3356725623250137e-18,7.042372472942602e-18,4.758625794986524e-18,0.0010808106140162304,0.0,-1.1556091903150634,-0.151116928202725,1.3620846537220208,-1.1323658735019875,-0.15606945270265388,1.350711451304588,False
clearances__match_z,2.7560936235435164e-18,-1.3991468489289937e-18,-4.2010824722592394e-18,0.01279549567354844,0.0,-0.7751479862146411,-0.31725868210091956,1.4820094993011552,-0.7620519672810521,-0.29999944903733045,1.4832793091030294,False
tackles__match_z,2.9585185789450173e-18,-1.119317479143195e-18,-4.122824106540187e-18,0.0111119585972267,0.0,-1.1023341772053685,-0.20193688946773058,1.378714318902978,-1.1063511210146992,-0.1926070928328618,1.3714373242668971,False
effective_disposals__match_z,7.365154146531544e-18,3.497867122322484e-18,-3.909952225444338e-18,0.0016664760544775948,0.0,-1.1803723554494008,-0.11774586507673396,1.3896871639868904,-1.1828325485385711,-0.12348664341085631,1.3696985150252925,False
pressure_acts__match_z,2.2733879606630133e-18,-1.49242330552426e-18,-3.807356952990496e-18,0.0017775618706213489,0.0,-1.1540390149464557,-0.1412986638020017,1.3775659331993528,-1.1696342092689995,-0.13148657503873862,1.3725098613144837,False
rating_points__match_z,2.7872359243745164e-18,-6.995734244644968e-19,-3.525276993367594e-18,0.0020166554446951175,0.0,-1.2157095298333114,-0.08151062141667068,1.3246491178903181,-1.1820425080857522,-0.09827440555198844,1.324083817197951,False
score_involvements__match_z,1.884109200275511e-18,5.036928656144378e-18,3.1876024124224105e-18,0.0023208272099463556,0.0,-1.1835430756891372,-0.12134212258068064,1.3463138200457976,-1.200560937285991,-0.10642383122629166,1.354340847214903,False
marks_inside_fifty__match_z,1.183407431578007e-18,3.2180377525366857e-18,2.0570770417579592e-18,0.01589953900155107,0.0,-0.6126420575309673,-0.4847416059638679,1.3993998759424426,-0.6141342012799569,-0.48425725382444323,1.3783332288201173,False
goals__match_z,-5.216335389192531e-19,-2.285273186584023e-18,-1.7830967089077284e-18,0.02173971933579748,0.0,-0.6570089812575314,-0.5206576008754674,1.4240126421239068,-0.6715969097035119,-0.5301891935591552,1.4583671251903811,False
inside_fifties__match_z,-4.1419260105230246e-18,-5.876416765501774e-18,-1.7536262359085707e-18,0.02965841938132431,0.0,-1.1297948559129256,-0.15144405793423008,1.3867295475074481,-1.149774996438891,-0.16611937216392147,1.3708576681536488,False
hitouts_to_advantage__match_z,-1.0899805290850064e-18,-1.865529131905325e-19,9.133945308900138e-19,0.20763619554454102,0.0,-0.2725831034858997,-0.23431260260793715,-0.18861857881083838,-0.2820525054353006,-0.24889143438719022,-0.18973981102413862,False
spoils__match_z,6.228460166200037e-20,-6.995734244644968e-19,-7.702630981560413e-19,0.010871124530436534,0.0,-0.7515289505292908,-0.2589689353409203,1.331999591395447,-0.7533696064800411,-0.26095812867639734,1.3387103542785759,False
afl_fantasy_score__match_z,3.550222294734021e-18,4.104164090191715e-18,5.600530662343099e-19,0.0010150643978619235,0.0,-1.239927539597714,-0.050932141447043056,1.3192005876618567,-1.2170026852256615,-0.06334417372973437,1.3274838172449759,False
disposals__match_z,-1.5104015903035089e-18,-1.8188909036076918e-18,-3.118926703730179e-19,0.0019221653453716906,0.0,-1.183952380414348,-0.11706364268213304,1.4002099107467763,-1.1846849472819994,-0.13287919067313048,1.388003290634122,False
coaches_votes__match_z,-3.986214506368024e-18,-4.0108876335964484e-18,-2.4945329403157233e-20,0.0576290785697626,0.0,-0.3497864794996884,-0.322142678856535,0.7094153788051948,-0.3497864794996884,-0.32214267885653497,0.6925657324038553,False
supercoach_score__match_rank,23.5,23.5,0.0,5.662848584848384e-05,0.0,5.0,23.5,42.0,5.0,23.5,42.0,False
supercoach_score__match_share,0.021739130434782608,0.021739130434782608,0.0,0.01667992708664915,0.0,0.009699909063352531,0.02121935511363865,0.03424242424242424,0.01090909090909091,0.02118964782914351,0.033352536584675394,False
coaches_votes,0.6521739130434783,0.6521739130434783,0.0,6.0901041642088796e-05,0.0,0.0,0.0,2.0,0.0,0.0,2.0,False
goal_assists__match_rank,23.5,23.5,0.0,0.13587459553358083,0.0,7.0,29.5,31.5,7.0,30.0,32.5,False
goal_assists__match_share,0.021739130434782608,0.021739130434782608,0.0,0.0026406788681225812,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,False
coaches_votes__match_rank,23.5,23.5,0.0,0.0016949159893218542,0.0,5.0,26.5,27.0,5.0,26.5,27.0,False
spoils__match_pct,0.5108695652173914,0.5108695652173914,0.0,0.006350752725269114,0.0,0.21739130434782608,0.532608695652174,0.9130434782608695,0.21739130434782608,0.5434782608695652,0.9130434782608695,False
spoils__match_rank,23.5,23.5,0.0,0.00899746539519294,0.0,5.0,22.5,37.0,5.0,22.0,37.0,False
spoils__match_share,0.021739130434782608,0.021739130434782608,0.0,0.0013360597762857045,0.0,0.0,0.013888888888888888,0.0625,0.0,0.013888888888888888,0.06382978723404255,False
disposals__team_share,0.043478260869565216,0.043478260869565216,0.0,0.008375853673714167,0.0,0.01928374655647383,0.0410958904109589,0.07164179104477612,0.020588235294117647,0.04113110539845758,0.06989247311827956,False
disposals__team_rank,12.0,12.0,0.0,0.000476418189067526,0.0,3.0,12.0,21.0,3.0,12.0,21.0,False
clearances__team_share,0.043478260869565216,0.043478260869565216,0.0,0.004155414161345494,0.0,0.0,0.024390243902439025,0.13157894736842105,0.0,0.025,0.13333333333333333,False
clearances__team_rank,12.0,12.0,0.0,0.006106186364578618,0.0,3.0,12.0,19.0,3.0,12.0,19.0,False
disposals__match_pct,0.5108695652173914,0.5108695652173914,0.0,0.0002478834932326632,0.0,0.10869565217391304,0.5108695652173914,0.9130434782608695,0.10869565217391304,0.5108695652173914,0.9130434782608695,False
contested_possessions__team_share,0.043478260869565216,0.043478260869565216,0.0,0.006133507988343898,0.0,0.014388489208633094,0.03875968992248062,0.08035714285714286,0.015037593984962405,0.038461538461538464,0.07894736842105263,False
contested_possessions__team_rank,12.0,12.0,0.0,0.001556923047336369,0.0,3.0,12.0,21.0,3.0,12.0,21.0,False
effective_disposals__match_pct,0.5108695652173914,0.5108695652173914,0.0,0.0002881364197037544,0.0,0.10869565217391304,0.5108695652173914,0.9130434782608695,0.10869565217391304,0.5108695652173914,0.9130434782608695,False
score_involvements__team_rank,12.0,12.0,0.0,0.002231617514498375,0.0,3.0,12.0,21.0,3.0,12.0,21.0,False
disposals__match_rank,23.5,23.5,0.0,0.00015578639318490276,0.0,5.0,23.5,42.0,5.0,23.5,42.0,False
metres_gained__team_rank,12.0,12.0,0.0,2.885089926536003e-05,0.0,3.0,12.0,21.0,3.0,12.0,21.0,False
goals__team_share,0.043478260869565216,0.043478260869565216,0.0,0.0015686463951619788,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,False
supercoach_score__match_pct,0.5108695652173914,0.5108695652173914,0.0,0.0001739624380732903,0.0,0.10869565217391304,0.5108695652173914,0.9130434782608695,0.10869565217391304,0.5108695652173914,0.9130434782608695,False
goals__team_rank,12.0,12.0,0.0,0.01892411224130188,0.0,3.0,15.0,16.5,3.0,15.0,17.0,False
intercepts__team_share,0.043478260869565216,0.043478260869565216,0.0,0.006220523496328458,0.0,0.0,0.03333333333333333,0.09836065573770492,0.0,0.034482758620689655,0.09523809523809523,False
intercepts__team_rank,12.0,12.0,0.0,0.006136171778555833,0.0,3.0,12.0,21.0,3.0,12.0,21.0,False
score_involvements__team_share,0.043478260869565216,0.043478260869565216,0.0,0.010910130804055746,0.0,0.011494252873563218,0.0410958904109589,0.07894736842105263,0.013157894736842105,0.0410958904109589,0.07692307692307693,False
marks_inside_fifty__match_pct,0.5108695652173914,0.5108695652173914,0.0,0.014978397810914784,0.0,0.32608695652173914,0.3804347826086957,0.9021739130434783,0.32608695652173914,0.3804347826086957,0.9021739130434783,False
marks_inside_fifty__match_share,0.021739130434782608,0.021739130434782608,0.0,0.00013948734804417444,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,False
score_involvements__match_share,0.021739130434782608,0.021739130434782608,0.0,0.006912027846509867,0.0,0.005405405405405406,0.020134228187919462,0.04040404040404041,0.0056179775280898875,0.02030456852791878,0.03902439024390244,False
inside_fifties__match_pct,0.5108695652173914,0.5108695652173914,0.0,0.038199957521872135,0.0,0.10869565217391304,0.5217391304347826,0.9021739130434783,0.10869565217391304,0.5108695652173914,0.9021739130434783,False
inside_fifties__match_rank,23.5,23.5,0.0,0.039892264678600776,0.0,5.5,23.0,42.0,5.5,23.5,42.0,False
tackles__match_rank,23.5,23.5,0.0,0.009132603058763917,0.0,5.0,23.5,42.0,5.5,23.5,42.0,False
tackles__match_pct,0.5108695652173914,0.5108695652173914,0.0,0.004658822279290216,0.0,0.10869565217391304,0.5108695652173914,0.9130434782608695,0.10869565217391304,0.5108695652173914,0.9021739130434783,False
goals__match_share,0.021739130434782608,0.021739130434782608,0.0,0.0007309089453583421,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.07407407407407407,False
clearances__match_rank,23.5,23.5,0.0,0.0062076244184234115,0.0,5.0,23.0,37.0,5.0,22.5,37.0,False
clearances__match_share,0.021739130434782608,0.021739130434782608,0.0,0.004798803930699788,0.0,0.0,0.0125,0.06578947368421052,0.0,0.01282051282051282,0.06666666666666667,False
goals__match_rank,23.5,23.5,0.0,0.058821217317655564,0.0,5.5,30.0,32.5,5.0,30.5,32.5,False
contested_possessions__match_pct,0.5108695652173914,0.5108695652173914,0.0,0.002167940744021971,0.0,0.11956521739130435,0.5108695652173914,0.9130434782608695,0.11956521739130435,0.5108695652173914,0.9130434782608695,False
contested_possessions__match_rank,23.5,23.5,0.0,0.0027792927908667124,0.0,5.0,23.5,41.5,5.0,23.5,41.5,False
afl_fantasy_score__match_rank,23.5,23.5,0.0,0.00011244911918896453,0.0,5.0,23.5,42.0,5.0,23.5,42.0,False
afl_fantasy_score__match_pct,0.5108695652173914,0.5108695652173914,0.0,0.0001358883559920047,0.0,0.10869565217391304,0.5108695652173914,0.9130434782608695,0.10869565217391304,0.5108695652173914,0.9130434782608695,False
score_involvements__match_rank,23.5,23.5,0.0,0.0025089369143604695,0.0,5.0,23.5,41.5,5.5,24.0,41.5,False
goals__match_pct,0.5108695652173914,0.5108695652173914,0.0,0.035152390556503266,0.0,0.31521739130434784,0.3695652173913043,0.9021739130434783,0.31521739130434784,0.358695652173913,0.9130434782608695,False
marks_inside_fifty__match_rank,23.5,23.5,0.0,0.007023501678235391,0.0,5.5,29.5,32.0,5.5,29.5,32.0,False
metres_gained__match_pct,0.5108695652173914,0.5108695652173914,0.0,2.888605656964312e-05,0.0,0.10869565217391304,0.5108695652173914,0.9130434782608695,0.10869565217391304,0.5108695652173914,0.9130434782608695,False
metres_gained__match_rank,23.5,23.5,0.0,1.2094932681830342e-05,0.0,5.0,23.5,42.0,5.0,23.5,42.0,False
metres_gained__match_share,0.021739130434782605,0.021739130434782605,0.0,0.00557410332767017,0.0,0.006700180569018676,0.019804836423697965,0.03922991078105395,0.007558405669415678,0.019792655030016357,0.03848490221618885,False
intercepts__match_pct,0.5108695652173914,0.5108695652173914,0.0,0.021492988162753853,0.0,0.10869565217391304,0.5,0.9130434782608695,0.10869565217391304,0.5,0.9021739130434783,False
intercepts__match_rank,23.5,23.5,0.0,0.015526445812139281,0.0,5.0,24.0,42.0,5.5,24.0,42.0,False
