player_position,coaches_votes,P_brownlow_0,P_brownlow_1,P_brownlow_2,P_brownlow_3,E_brownlow,n
BPL,0,0.9955855621916385,0.0025967281225655675,0.0007790184367696703,0.001038691249026227,0.007270838743183588,3851
BPL,1,1.0,0.0,0.0,0.0,0.0,99
BPL,2,0.8723404255319149,0.0851063829787234,0.031914893617021274,0.010638297872340425,0.18085106382978725,94
BPL,3,0.8771929824561403,0.07017543859649122,0.03508771929824561,0.017543859649122806,0.19298245614035087,57
BPL,4,0.9298245614035088,0.03508771929824561,0.03508771929824561,0.0,0.10526315789473684,57
BPL,5,0.851063829787234,0.10638297872340426,0.02127659574468085,0.02127659574468085,0.2127659574468085,47
BPL,6,0.72,0.12,0.08,0.08,0.52,25
BPL,7,0.6923076923076923,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.6923076923076923,26
BPL,8,0.47619047619047616,0.2857142857142857,0.09523809523809523,0.14285714285714285,0.9047619047619048,21
BPL,9,0.7272727272727273,0.0,0.18181818181818182,0.09090909090909091,0.6363636363636364,11
BPL,10,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.5294117647058824,2.0,17
BPR,0,0.9955286691215149,0.003156233561283535,0.0007890583903208837,0.0005260389268805891,0.00631246712256707,3802
BPR,1,0.9603174603174603,0.031746031746031744,0.0,0.007936507936507936,0.05555555555555555,126
BPR,2,0.8921568627450981,0.049019607843137254,0.049019607843137254,0.00980392156862745,0.17647058823529413,102
BPR,3,0.875,0.045454545454545456,0.07954545454545454,0.0,0.20454545454545456,88
BPR,4,0.8541666666666666,0.10416666666666667,0.041666666666666664,0.0,0.1875,48
BPR,5,0.8571428571428571,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.2857142857142857,42
BPR,6,0.7777777777777778,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.4444444444444444,27
BPR,7,0.6666666666666666,0.2916666666666667,0.041666666666666664,0.0,0.375,24
BPR,8,0.631578947368421,0.10526315789473684,0.21052631578947367,0.05263157894736842,0.6842105263157895,19
BPR,9,0.4,0.06666666666666667,0.13333333333333333,0.4,1.5333333333333334,15
BPR,10,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.38461538461538464,1.8461538461538463,13
C,0,0.9449708454810496,0.026603498542274052,0.02040816326530612,0.008017492711370262,0.09147230320699709,2744
C,1,0.768361581920904,0.096045197740113,0.0903954802259887,0.04519774011299435,0.4124293785310734,177
C,2,0.69,0.165,0.1,0.045,0.5,200
C,3,0.6329787234042553,0.14361702127659576,0.1276595744680851,0.09574468085106383,0.6861702127659575,188
C,4,0.5390070921985816,0.18439716312056736,0.15602836879432624,0.12056737588652482,0.8581560283687943,141
C,5,0.4226190476190476,0.19047619047619047,0.19642857142857142,0.19047619047619047,1.1547619047619047,168
C,6,0.37815126050420167,0.13445378151260504,0.2689075630252101,0.2184873949579832,1.3277310924369747,119
C,7,0.25,0.22115384615384615,0.3076923076923077,0.22115384615384615,1.5,104
C,8,0.17518248175182483,0.145985401459854,0.39416058394160586,0.2846715328467153,1.7883211678832116,137
C,9,0.13636363636363635,0.10909090909090909,0.2,0.5545454545454546,2.172727272727273,110
C,10,0.07339449541284404,0.05504587155963303,0.14678899082568808,0.7247706422018348,2.522935779816514,218
CHB,0,0.9928649835345774,0.005488474204171241,0.001646542261251372,0.0,0.008781558726673985,3644
CHB,1,0.935064935064935,0.03896103896103896,0.01948051948051948,0.006493506493506494,0.09740259740259741,154
CHB,2,0.8425925925925926,0.09259259259259259,0.037037037037037035,0.027777777777777776,0.25,108
CHB,3,0.9325842696629213,0.056179775280898875,0.011235955056179775,0.0,0.07865168539325842,89
CHB,4,0.8481012658227848,0.0759493670886076,0.0379746835443038,0.0379746835443038,0.26582278481012656,79
CHB,5,0.8,0.13333333333333333,0.05,0.016666666666666666,0.2833333333333333,60
CHB,6,0.7058823529411765,0.11764705882352941,0.13725490196078433,0.0392156862745098,0.5098039215686274,51
CHB,7,0.6666666666666666,0.15151515151515152,0.030303030303030304,0.15151515151515152,0.6666666666666666,33
CHB,8,0.6206896551724138,0.13793103448275862,0.10344827586206896,0.13793103448275862,0.7586206896551724,29
CHB,9,0.3548387096774194,0.16129032258064516,0.1935483870967742,0.2903225806451613,1.4193548387096775,31
CHB,10,0.10714285714285714,0.0,0.25,0.6428571428571429,2.4285714285714284,28
CHF,0,0.9926570573837368,0.004351373402230079,0.0024476475387544194,0.0005439216752787598,0.010878433505575198,3677
CHF,1,0.8532110091743119,0.08256880733944955,0.027522935779816515,0.03669724770642202,0.24770642201834864,109
