window,validation_year,fit_season,min_train_year,max_train_year,feature,std_coefficient,intercept
expanding_prior,2022.0,,2015,2021,coaches_votes,0.3756336946644461,0.135450487012987
expanding_prior,2022.0,,2015,2021,disposals__match_pct,0.013920160989643852,0.135450487012987
expanding_prior,2022.0,,2015,2021,contested_possessions__match_pct,-0.0030756641890709153,0.135450487012987
expanding_prior,2022.0,,2015,2021,clearances__match_pct,0.02351623501426978,0.135450487012987
expanding_prior,2022.0,,2015,2021,goals__match_pct,0.021440643943627116,0.135450487012987
expanding_prior,2022.0,,2015,2021,score_involvements__match_pct,0.002797483623451124,0.135450487012987
expanding_prior,2022.0,,2015,2021,team_won,0.002052606833946176,0.135450487012987
expanding_prior,2022.0,,2015,2021,close_game,3.387071561448808e-05,0.135450487012987
expanding_prior,2022.0,,2015,2021,blowout,2.016646410755405e-05,0.135450487012987
expanding_prior,2023.0,,2015,2022,coaches_votes,0.37361594701907996,0.1347810796553543
expanding_prior,2023.0,,2015,2022,disposals__match_pct,0.015563088495358536,0.1347810796553543
expanding_prior,2023.0,,2015,2022,contested_possessions__match_pct,-0.004660369601769103,0.1347810796553543
expanding_prior,2023.0,,2015,2022,clearances__match_pct,0.02483641420613457,0.1347810796553543
expanding_prior,2023.0,,2015,2022,goals__match_pct,0.02177377318708707,0.1347810796553543
expanding_prior,2023.0,,2015,2022,score_involvements__match_pct,0.002753094713161872,0.1347810796553543
expanding_prior,2023.0,,2015,2022,team_won,0.0020846457396982232,0.1347810796553543
expanding_prior,2023.0,,2015,2022,close_game,2.162697927292141e-05,0.1347810796553543
expanding_prior,2023.0,,2015,2022,blowout,2.029849597663774e-05,0.1347810796553543
expanding_prior,2024.0,,2015,2023,coaches_votes,0.36769088665334626,0.1342489005477972
expanding_prior,2024.0,,2015,2023,disposals__match_pct,0.014904884883781713,0.1342489005477972
expanding_prior,2024.0,,2015,2023,contested_possessions__match_pct,-0.004490404661922993,0.1342489005477972
expanding_prior,2024.0,,2015,2023,clearances__match_pct,0.026252608921282596,0.1342489005477972
expanding_prior,2024.0,,2015,2023,goals__match_pct,0.022035785962457737,0.1342489005477972
expanding_prior,2024.0,,2015,2023,score_involvements__match_pct,0.00361307378549971,0.1342489005477972
expanding_prior,2024.0,,2015,2023,team_won,0.0032838266870101633,0.1342489005477972
