model,val_season,rmse,rmse_zero,rmse_pollers,match_sum_abs_max,top3_recall
lightgbm,2022,0.3210181175696561,0.17740446088704212,1.062561421790707,8.242473370501102e-11,0.7171717171717171
lightgbm,2023,0.3895030455110754,0.23119104005079674,1.249061095687538,4.8260062612826005e-11,0.6167471819645733
lightgbm,2024,0.3696487428328931,0.20707667109688785,1.2167684975574593,4.552536125856932e-11,0.6376811594202898
lightgbm,2025,0.359885184742986,0.2029855500439786,1.1812511987208667,5.3861803905874694e-11,0.6456310679611651
catboost,2022,0.3179154805039897,0.1700711831356124,1.0654405522134154,5.586553442071818e-11,0.7289562289562289
catboost,2023,0.3844556697255323,0.22437855072551,1.2428752804370864,9.912426435221278e-11,0.6328502415458938
catboost,2024,0.3711533592019917,0.2053329495634134,1.227975552223083,4.225331196039406e-11,0.6247987117552335
catboost,2025,0.3591624504581128,0.20102819642179998,1.182675242848973,5.0888182556718675e-11,0.6456310679611652
two_stage,2022,0.32648246319857216,0.2125704200596545,0.9933396287069509,9.138823031662469e-11,0.7171717171717171
two_stage,2023,0.39141212987963653,0.2559087236589681,1.1876194860382467,6.441691624559098e-11,0.6183574879227055
two_stage,2024,0.37683412437123204,0.24295827252992358,1.1538265295915686,6.871392344010019e-11,0.6264090177133657
two_stage,2025,0.3655284343655895,0.23755253554545006,1.1134878780920503,7.505995824885758e-11,0.6375404530744337
