season,feature,feature_family,pearson,spearman,n
2015,coaches_votes,raw,0.7104429016754902,0.5846189195096926,8580
2015,supercoach_score,raw,0.42450398886048857,0.3751379723953886,8580
2015,afl_fantasy_score,raw,0.4055200526283616,0.3677699736390594,8580
2015,rating_points,raw,0.37292614718220735,0.316579441427507,8580
2015,disposals,raw,0.375443245225105,0.3159901532159086,8580
2015,contested_possessions,raw,0.3565890824223029,0.2909051050360603,8580
2015,clearances,raw,0.32152627441099685,0.24131162892985022,8580
2015,goals,raw,0.26045600512317724,0.19728098343504707,8580
2015,score_involvements,raw,0.34730513150154724,0.2997411698006487,8580
2015,metres_gained,raw,0.29996119931756327,0.2629312619595212,8580
2015,supercoach_score__match_pct,match_pct,0.35586720113937675,0.3752210556281807,8580
2015,afl_fantasy_score__match_pct,match_pct,0.3491522836813749,0.36895516701651004,8580
2015,rating_points__match_pct,match_pct,0.3053507247679189,0.3177087340199911,8580
2015,disposals__match_pct,match_pct,0.3050321011867366,0.3185041110690611,8580
2015,contested_possessions__match_pct,match_pct,0.2808558063713178,0.2917538442785123,8580
2015,clearances__match_pct,match_pct,0.2332231810022752,0.23493347001629203,8580
2015,goals__match_pct,match_pct,0.1874231373811792,0.1716171789896131,8580
2015,score_involvements__match_pct,match_pct,0.2966360401402622,0.3095929692654397,8580
2015,metres_gained__match_pct,match_pct,0.25449296114975,0.2631961866766529,8580
2015,coaches_votes__match_pct,match_pct,0.5599322811978503,0.37888483426679803,8580
2016,coaches_votes,raw,0.7334179417113024,0.6142068351118422,8580
2016,supercoach_score,raw,0.45375763355155413,0.38295948926408285,8580
2016,afl_fantasy_score,raw,0.4341509572695018,0.3801866473404153,8580
2016,rating_points,raw,0.370495673808418,0.3108548276113604,8580
2016,disposals,raw,0.3858699513552818,0.3179983577001392,8580
2016,contested_possessions,raw,0.3543008558405262,0.2830394928525177,8580
2016,clearances,raw,0.3215571254250531,0.22161722930846395,8580
2016,goals,raw,0.26994889339994377,0.19135229310339566,8580
2016,score_involvements,raw,0.34781383085854506,0.2994098923031293,8580
2016,metres_gained,raw,0.27799988397682895,0.25713535509959246,8580
2016,supercoach_score__match_pct,match_pct,0.3618733772770838,0.38236154946790013,8580
2016,afl_fantasy_score__match_pct,match_pct,0.363082857075101,0.3837841782987831,8580
2016,rating_points__match_pct,match_pct,0.30142591725335494,0.3156573726827685,8580
2016,disposals__match_pct,match_pct,0.30308755032550155,0.31899426277605336,8580
2016,contested_possessions__match_pct,match_pct,0.2724436121513615,0.28405831829575545,8580
2016,clearances__match_pct,match_pct,0.21727656870978693,0.20948391440573783,8580
2016,goals__match_pct,match_pct,0.18590917217581068,0.17371928387300206,8580
2016,score_involvements__match_pct,match_pct,0.3035879377803242,0.31450033089279666,8580
2016,metres_gained__match_pct,match_pct,0.23951649565464314,0.25402101337554367,8580
2016,coaches_votes__match_pct,match_pct,0.586692553611869,0.39847470413359587,8580
2017,coaches_votes,raw,0.7265965111914247,0.5934981656384071,8712
2017,supercoach_score,raw,0.45368411630648664,0.38534353323158077,8712
2017,afl_fantasy_score,raw,0.43716726887564156,0.37915795318199347,8712
2017,rating_points,raw,0.3787945325890307,0.31237706919842556,8712
2017,disposals,raw,0.37672833226347946,0.31438307265315085,8712
2017,contested_possessions,raw,0.34376827113508907,0.2779248186108533,8712
2017,clearances,raw,0.2952043085490148,0.21519247060421812,8712
2017,goals,raw,0.29706064806242516,0.19651017508010624,8712
2017,score_involvements,raw,0.3574475796891079,0.2967007486818591,8712
2017,metres_gained,raw,0.2820951920753433,0.25899355391493695,8712
2017,supercoach_score__match_pct,match_pct,0.36351577121328504,0.38384270616747546,8712
2017,afl_fantasy_score__match_pct,match_pct,0.36020508384216554,0.38121571654550734,8712
2017,rating_points__match_pct,match_pct,0.3011782121739139,0.31376047110375727,8712
2017,disposals__match_pct,match_pct,0.29886375972621326,0.3159516940554781,8712
2017,contested_possessions__match_pct,match_pct,0.265903169281461,0.27545041356448746,8712
2017,clearances__match_pct,match_pct,0.20651945281247167,0.20483029812841258,8712
2017,goals__match_pct,match_pct,0.20663215365198834,0.17388294768367998,8712
2017,score_involvements__match_pct,match_pct,0.29714791609698943,0.30576493869139215,8712
2017,metres_gained__match_pct,match_pct,0.24720973298354187,0.2592952312975465,8712
2017,coaches_votes__match_pct,match_pct,0.5722631327481215,0.381393113834636,8712
2018,coaches_votes,raw,0.7201450804489837,0.585032478512642,8712
2018,supercoach_score,raw,0.42916715566370345,0.3762395935735713,8712
2018,afl_fantasy_score,raw,0.4291794928937565,0.3772124975291981,8712
2018,rating_points,raw,0.36154047426702984,0.3119600694073244,8712
2018,disposals,raw,0.3811789008739571,0.32156630669867003,8712
2018,contested_possessions,raw,0.3333616129256838,0.27885971377906466,8712
2018,clearances,raw,0.2944083604692666,0.2208619949519599,8712
2018,goals,raw,0.27488780556651926,0.18979742626900495,8712
2018,score_involvements,raw,0.3274366603256698,0.2813428424101122,8712
2018,metres_gained,raw,0.29548732812036893,0.2655325685835824,8712
2018,supercoach_score__match_pct,match_pct,0.3511884652869477,0.3744858678237201,8712
2018,afl_fantasy_score__match_pct,match_pct,0.35423622436442637,0.3781848393016353,8712
2018,rating_points__match_pct,match_pct,0.29256608071103396,0.3131984789895322,8712
2018,disposals__match_pct,match_pct,0.30323383245623886,0.32266306999999594,8712
2018,contested_possessions__match_pct,match_pct,0.26812315080902815,0.2817501768262438,8712
2018,clearances__match_pct,match_pct,0.2097288137851382,0.21047478909125977,8712
2018,goals__match_pct,match_pct,0.18423013937671798,0.16333542789216948,8712
2018,score_involvements__match_pct,match_pct,0.2751178177588819,0.2904045653217283,8712
2018,metres_gained__match_pct,match_pct,0.2557742197197804,0.26609746082202984,8712
2018,coaches_votes__match_pct,match_pct,0.5647603484683922,0.3767434966213713,8712
2019,coaches_votes,raw,0.7295516796602362,0.6035311200241466,8712
2019,supercoach_score,raw,0.44565105334112787,0.3814962215311981,8712
2019,afl_fantasy_score,raw,0.441411714718304,0.3820972554146174,8712
2019,rating_points,raw,0.3810272329645309,0.3120142511596519,8712
2019,disposals,raw,0.3935880419214087,0.32725070499127157,8712
2019,contested_possessions,raw,0.37718689847095216,0.2892282466010758,8712
2019,clearances,raw,0.33579448869302836,0.24764960096904332,8712
2019,goals,raw,0.2575686471238999,0.1790346901560396,8712
2019,score_involvements,raw,0.32731739753425215,0.28597037669962244,8712
2019,metres_gained,raw,0.30510227204076806,0.284599038485599,8712
2019,supercoach_score__match_pct,match_pct,0.36033345246804865,0.38150557472221763,8712
2019,afl_fantasy_score__match_pct,match_pct,0.36334225651893026,0.38491388561581963,8712
2019,rating_points__match_pct,match_pct,0.29965463220186456,0.31154078771141236,8712
2019,disposals__match_pct,match_pct,0.3124205910151421,0.32952153602900436,8712
2019,contested_possessions__match_pct,match_pct,0.2835802300555789,0.2919295144537718,8712
2019,clearances__match_pct,match_pct,0.24068312351559357,0.23602284868848808,8712
2019,goals__match_pct,match_pct,0.17438317634366107,0.15426587790401325,8712
2019,score_involvements__match_pct,match_pct,0.28369416000329084,0.29634269910699274,8712
2019,metres_gained__match_pct,match_pct,0.2676650825322469,0.2839770791197753,8712
2019,coaches_votes__match_pct,match_pct,0.5833637089749196,0.3838032825413176,8712
2020,coaches_votes,raw,0.6769976040543981,0.5536378266340213,6732
2020,supercoach_score,raw,0.41888122989375753,0.3582297317148741,6732
2020,afl_fantasy_score,raw,0.4057871915430432,0.35857282758871856,6732
2020,rating_points,raw,0.3641623977229439,0.3023259121360423,6732
2020,disposals,raw,0.3737962526916587,0.3121568521993172,6732
2020,contested_possessions,raw,0.36589584178598306,0.2830389581249671,6732
2020,clearances,raw,0.32504514819218416,0.23578262899749566,6732
2020,goals,raw,0.2441629796516981,0.17238002521188583,6732
2020,score_involvements,raw,0.32625955888886615,0.2708802399457178,6732
2020,metres_gained,raw,0.27011510356550794,0.25476714433769,6732
2020,supercoach_score__match_pct,match_pct,0.3439092488989357,0.3580683148261221,6732
2020,afl_fantasy_score__match_pct,match_pct,0.3413540661068462,0.35890739215767375,6732
2020,rating_points__match_pct,match_pct,0.29457437882182314,0.30281389090929184,6732
2020,disposals__match_pct,match_pct,0.2991453706037736,0.3130243386886959,6732
2020,contested_possessions__match_pct,match_pct,0.2809810523993697,0.28374770287179574,6732
2020,clearances__match_pct,match_pct,0.23754216338088743,0.22652209494773184,6732
2020,goals__match_pct,match_pct,0.17432193168870794,0.14656064975104383,6732
2020,score_involvements__match_pct,match_pct,0.27858591558843837,0.2833057457250023,6732
2020,metres_gained__match_pct,match_pct,0.23942830359318032,0.25331362099438276,6732
2020,coaches_votes__match_pct,match_pct,0.5396142016537506,0.35492913557834177,6732
2021,coaches_votes,raw,0.715828294669568,0.58686459700545,9108
2021,supercoach_score,raw,0.41366282317842146,0.368021053941197,9108
2021,afl_fantasy_score,raw,0.4060553889071994,0.36117053329603305,9108
2021,rating_points,raw,0.3597624764156537,0.31225084327675146,9108
2021,disposals,raw,0.3895973609199566,0.31646455879843927,9108
2021,contested_possessions,raw,0.37151122478751464,0.2963878043565815,9108
2021,clearances,raw,0.3496587537021593,0.2567125457568466,9108
2021,goals,raw,0.2338079127775207,0.16756031256128093,9108
2021,score_involvements,raw,0.34676087371625264,0.2950101015676101,9108
2021,metres_gained,raw,0.29593404842841586,0.2686396195830455,9108
2021,supercoach_score__match_pct,match_pct,0.34925296198043576,0.3674202553800541,9108
2021,afl_fantasy_score__match_pct,match_pct,0.3463913442988073,0.3626759224247111,9108
2021,rating_points__match_pct,match_pct,0.2989660730990261,0.31454299192081936,9108
2021,disposals__match_pct,match_pct,0.30822588202169815,0.31820053378326746,9108
2021,contested_possessions__match_pct,match_pct,0.2885519885340864,0.2983283661596594,9108
2021,clearances__match_pct,match_pct,0.2547686204911347,0.24076455800887783,9108
2021,goals__match_pct,match_pct,0.16602482840159058,0.13726906775722583,9108
2021,score_involvements__match_pct,match_pct,0.29285066519198355,0.3023521327915274,9108
2021,metres_gained__match_pct,match_pct,0.2599619984176264,0.26762649833386254,9108
2021,coaches_votes__match_pct,match_pct,0.5673947893811991,0.37085821912589295,9108
2022,coaches_votes,raw,0.7056706732265712,0.5862904750916705,9108
2022,supercoach_score,raw,0.4086737044301964,0.36709865972837596,9108
2022,afl_fantasy_score,raw,0.41209578160315796,0.3704404386243081,9108
2022,rating_points,raw,0.3668063406587445,0.3157069003748317,9108
2022,disposals,raw,0.3669442009141149,0.30829575461849573,9108
2022,contested_possessions,raw,0.33607267989947714,0.273884902177738,9108
2022,clearances,raw,0.3046701066937931,0.22290313681984555,9108
2022,goals,raw,0.2803369222541625,0.1942937317528906,9108
2022,score_involvements,raw,0.34440737767649443,0.30080462346553033,9108
2022,metres_gained,raw,0.30448670213267304,0.2762537969429367,9108
2022,supercoach_score__match_pct,match_pct,0.34505568837010603,0.36551190377605747,9108
2022,afl_fantasy_score__match_pct,match_pct,0.35039691990629884,0.3715689374384067,9108
2022,rating_points__match_pct,match_pct,0.29944889347082015,0.31530669467867956,9108
2022,disposals__match_pct,match_pct,0.2899157984043216,0.30787970640869616,9108
2022,contested_possessions__match_pct,match_pct,0.2591066255054004,0.2747446219516644,9108
2022,clearances__match_pct,match_pct,0.21141036021706797,0.21115725466842358,9108
2022,goals__match_pct,match_pct,0.18396405036013552,0.16587422059198773,9108
