player_id,player,team,predicted_expected_votes,actual_votes,games,error,absolute_error,predicted_rank,actual_rank,rank_error,over_gap
12373,Caleb Daniel,North Melbourne,6.193441322290313,0,23,6.193441322290313,6.193441322290313,58,184,-126,6.193441322290313
12055,Lachie Neale,Brisbane Lions,25.225970260024255,20,23,5.225970260024255,5.225970260024255,5,16,-11,5.225970260024255
12405,Wayne Milera,Adelaide,5.084621937102234,0,18,5.084621937102234,5.084621937102234,69,184,-115,5.084621937102234
12589,Andrew Brayshaw,Fremantle,13.711820634954366,9,23,4.711820634954366,4.711820634954366,23,45,-22,4.711820634954366
12143,Lachie Whitfield,Greater Western Sydney,5.952343051096131,2,21,3.952343051096131,3.952343051096131,60,112,-52,3.952343051096131
12881,Max Holmes,Geelong,13.433136215299822,10,18,3.4331362152998217,3.4331362152998217,25,38,-13,3.4331362152998217
12573,Josh Daicos,Collingwood,5.289090237235795,2,23,3.2890902372357953,3.2890902372357953,67,112,-45,3.2890902372357953
12660,Darcy Cameron,Collingwood,4.23575212568761,1,22,3.2357521256876103,3.2357521256876103,81,140,-59,3.2357521256876103
13168,Archie Roberts,Essendon,4.193825191271768,1,21,3.1938251912717677,3.1938251912717677,82,140,-58,3.1938251912717677
12325,Jack Sinclair,St Kilda,4.014309614069942,1,15,3.0143096140699424,3.0143096140699424,85,140,-55,3.0143096140699424
12797,Chad Warner,Sydney,14.998767991134853,12,22,2.9987679911348533,2.9987679911348533,19,32,-13,2.9987679911348533
12354,Bailey Dale,Western Bulldogs,2.772863934865816,0,18,2.772863934865816,2.772863934865816,108,184,-76,2.772863934865816
13103,Ryley Sanders,Western Bulldogs,2.7389298751712268,0,21,2.7389298751712268,2.7389298751712268,109,184,-75,2.7389298751712268
12455,Matthew Kennedy,Western Bulldogs,4.656559072832957,2,23,2.656559072832957,2.656559072832957,73,112,-39,2.656559072832957
12873,Francis Evans,Carlton,2.595845436847232,0,21,2.595845436847232,2.595845436847232,112,184,-72,2.595845436847232
