player_position,n,rmse,mean_bias,mean_actual,mean_pred
BPL,412.0,0.17069139919472368,0.022947552211299627,0.021844660194174758,0.04479221240547439
BPR,414.0,0.09431688223887347,0.02301646795663172,0.007246376811594203,0.030262844768225924
C,414.0,0.5353057419621201,-0.059412073385106075,0.6570048309178744,0.5975927575327684
CHB,414.0,0.28479697957055305,0.017381166154373205,0.06763285024154589,0.0850140163959191
CHF,414.0,0.2684786941068884,-0.0006507899140783029,0.1570048309178744,0.1563540410037961
EMERG,4.0,0.0,0.0,0.0,0.0
FB,414.0,0.23583064245743807,0.003904495271488808,0.036231884057971016,0.04013637932945982
FF,414.0,0.2998821650664171,-0.005627031178988402,0.16908212560386474,0.16345509442487635
FPL,414.0,0.31404040859261007,0.0037324322081426506,0.07729468599033816,0.08102711819848081
FPR,413.0,0.2670214886861233,0.004308193571399475,0.1016949152542373,0.10600310882563675
HBFL,414.0,0.26214722760357095,0.017077173706992424,0.06763285024154589,0.08471002394853833
HBFR,414.0,0.204038285418523,0.04083191250440442,0.04106280193236715,0.08189471443677157
HFFL,414.0,0.36184436939487413,-0.030808592794338164,0.18357487922705315,0.15276628643271498
HFFR,414.0,0.2667130122086497,-0.003377349464951505,0.07004830917874397,0.06667095971379246
INT,2069.0,0.15456753364135886,0.010778221146763366,0.02706621556307395,0.037844436709837316
R,414.0,0.5298691666047457,-0.010111455666604468,0.43719806763285024,0.4270866119662458
RK,414.0,0.3518561402032391,-0.00396066239178927,0.17632850241545894,0.17236784002366967
RR,414.0,0.5933696954006112,-0.07610940448659147,0.4927536231884058,0.41664421870181423
WL,414.0,0.13904817956634818,0.01873547525693973,0.026570048309178744,0.04530552356611847
WR,414.0,0.27698864186893546,-0.015621316937694729,0.0748792270531401,0.059257910115445366
