player_id,player,team,predicted_expected_votes,actual_votes,games,error,absolute_error,predicted_rank,actual_rank,rank_error,under_gap
12692,Bailey Smith,Geelong,27.467386904954743,36,22,-8.532613095045257,8.532613095045257,3,2,1,8.532613095045257
11966,Max Gawn,Melbourne,19.76106390119224,28,23,-8.23893609880776,8.23893609880776,10,4,6,8.23893609880776
12410,Clayton Oliver,Greater Western Sydney,15.21586597857443,23,23,-7.7841340214255705,7.7841340214255705,17,11,6,7.7841340214255705
12798,Izak Rankine,Adelaide,17.341264626192626,25,20,-7.6587353738073745,7.6587353738073745,15,10,5,7.6587353738073745
13180,Murphy Reid,Fremantle,7.369757394859515,15,21,-7.630242605140485,7.630242605140485,45,23,22,7.630242605140485
12943,Nick Daicos,Collingwood,40.02669195867445,47,22,-6.973308041325552,6.973308041325552,1,1,0,6.973308041325552
12698,Zak Butters,Port Adelaide,19.291213296423066,26,17,-6.7087867035769335,6.7087867035769335,12,8,4,6.7087867035769335
13034,Harry Sheezel,North Melbourne,20.29750477709791,27,22,-6.70249522290209,6.70249522290209,9,5,4,6.70249522290209
12590,Luke Davies-Uniacke,North Melbourne,12.50603771764715,19,23,-6.49396228235285,6.49396228235285,28,18,10,6.49396228235285
12411,George Hewett,Carlton,7.066146691301092,13,19,-5.933853308698908,5.933853308698908,49,30,19,5.933853308698908
12779,Luke Jackson,Fremantle,13.582210407495909,19,23,-5.417789592504091,5.417789592504091,24,18,6,5.417789592504091
12954,Connor Macdonald,Hawthorn,5.719676639792692,11,23,-5.280323360207308,5.280323360207308,64,37,27,5.280323360207308
12703,Callum Wilkie,St Kilda,3.8561047091844927,9,23,-5.143895290815507,5.143895290815507,87,45,42,5.143895290815507
12326,Isaac Heeney,Sydney,21.39898437981632,26,20,-4.601015620183681,4.601015620183681,7,8,-1,4.601015620183681
12269,Marcus Bontempelli,Western Bulldogs,29.44824025177742,34,22,-4.55175974822258,4.55175974822258,2,3,-1,4.55175974822258
