actual_vote,count,mean_predicted_ev,median_predicted_ev,mae,rmse
0,8901,0.04917486485790324,0.0094985560334052,0.04917486485790324,0.15915857806591466
1,207,0.7701580182800609,0.5978185592405164,0.5330389331627089,0.6163358707704351
2,207,1.1833772997704908,1.1938015380450304,0.8687874976610631,1.0366574071234071
3,207,1.9319454930594773,2.098121202663304,1.0680545069405227,1.269302207057916
