bin,n,mean_predicted_ev,mean_actual_votes
0.00–0.10,8084,0.015361845813545652,0.0029688273132112814
0.10–0.25,477,0.15800361658995454,0.11320754716981132
0.25–0.50,277,0.3654045395796622,0.4187725631768953
0.50–1.00,272,0.7295476463666776,0.75
1.00–1.50,157,1.2587891102494273,1.4968152866242037
1.50–2.00,100,1.757362860666035,2.01
2.00–2.50,103,2.235904283464254,2.495145631067961
2.50–3.00,52,2.675553432345708,2.9038461538461537
