player_id,player,team,predicted_expected_votes,actual_votes,games,error,absolute_error,predicted_rank,actual_rank,rank_error
12943,Nick Daicos,Collingwood,40.02669195867445,47,22,-6.973308041325552,6.973308041325552,1,1,0
12269,Marcus Bontempelli,Western Bulldogs,29.44824025177742,34,22,-4.55175974822258,4.55175974822258,2,3,-1
12692,Bailey Smith,Geelong,27.467386904954743,36,22,-8.532613095045257,8.532613095045257,3,2,1
12261,Patrick Cripps,Carlton,26.470959904356302,27,23,-0.5290400956436976,0.5290400956436976,4,5,-1
12055,Lachie Neale,Brisbane Lions,25.225970260024255,20,23,5.225970260024255,5.225970260024255,5,16,-11
13040,Will Ashcroft,Brisbane Lions,24.999915656150208,27,23,-2.0000843438497924,2.0000843438497924,6,5,1
12326,Isaac Heeney,Sydney,21.39898437981632,26,20,-4.601015620183681,4.601015620183681,7,8,-1
12516,Jordan Dawson,Adelaide,20.531576403021834,21,20,-0.46842359697816605,0.46842359697816605,8,13,-5
13034,Harry Sheezel,North Melbourne,20.29750477709791,27,22,-6.70249522290209,6.70249522290209,9,5,4
11966,Max Gawn,Melbourne,19.76106390119224,28,23,-8.23893609880776,8.23893609880776,10,4,6
12915,Jai Newcombe,Hawthorn,19.300328257974115,21,23,-1.6996717420258847,1.6996717420258847,11,13,-2
12698,Zak Butters,Port Adelaide,19.291213296423066,26,17,-6.7087867035769335,6.7087867035769335,12,8,4
12956,Jason Horne-Francis,Port Adelaide,18.400621200194117,22,21,-3.5993787998058835,3.5993787998058835,13,12,1
12950,Nasiah Wanganeen-Milera,St Kilda,17.443721722501003,21,17,-3.556278277498997,3.556278277498997,14,13,1
12798,Izak Rankine,Adelaide,17.341264626192626,25,20,-7.6587353738073745,7.6587353738073745,15,10,5
12771,Kysaiah Pickett,Melbourne,16.6329549887198,20,23,-3.367045011280201,3.367045011280201,16,16,0
12410,Clayton Oliver,Greater Western Sydney,15.21586597857443,23,23,-7.7841340214255705,7.7841340214255705,17,11,6
12684,Sam Walsh,Carlton,15.071128685347064,14,23,1.0711286853470643,1.0711286853470643,18,28,-10
12797,Chad Warner,Sydney,14.998767991134853,12,22,2.9987679911348533,2.9987679911348533,19,32,-13
12786,Caleb Serong,Fremantle,14.906068448288188,14,20,0.9060684482881882,0.9060684482881882,20,28,-8
12862,Errol Gulden,Sydney,14.388090187191452,17,11,-2.6119098128085483,2.6119098128085483,21,20,1
13111,Harley Reid,West Coast,13.723541007395808,15,23,-1.2764589926041925,1.2764589926041925,22,23,-1
12589,Andrew Brayshaw,Fremantle,13.711820634954366,9,23,4.711820634954366,4.711820634954366,23,45,-22
12779,Luke Jackson,Fremantle,13.582210407495909,19,23,-5.417789592504091,5.417789592504091,24,18,6
12881,Max Holmes,Geelong,13.433136215299822,10,18,3.4331362152998217,3.4331362152998217,25,38,-13
12217,Brodie Grundy,Sydney,13.174265740865051,16,21,-2.825734259134949,2.825734259134949,26,21,5
12605,Ed Richards,Western Bulldogs,13.118502217096617,16,22,-2.8814977829033825,2.8814977829033825,27,21,6
12590,Luke Davies-Uniacke,North Melbourne,12.50603771764715,19,23,-6.49396228235285,6.49396228235285,28,18,10
12535,Shai Bolton,Fremantle,11.701345883199524,15,22,-3.298654116800476,3.298654116800476,29,23,6
12430,Christian Petracca,Gold Coast,11.565267746151905,15,20,-3.434732253848095,3.434732253848095,30,23,7
11845,Jack Gunston,Hawthorn,11.248950420807539,9,17,2.248950420807539,2.248950420807539,31,45,-14
12767,Noah Anderson,Gold Coast,10.936394199451788,15,22,-4.063605800548212,4.063605800548212,32,23,9
12768,Matt Rowell,Gold Coast,10.88726144588269,12,18,-1.1127385541173105,1.1127385541173105,33,32,1
12969,Finn Callaghan,Greater Western Sydney,10.260373530009096,10,19,0.2603735300090957,0.2603735300090957,34,38,-4
12421,Charlie Curnow,Sydney,9.657783275984297,10,22,-0.342216724015703,0.342216724015703,35,38,-3
13048,Jacob van Rooyen,Melbourne,9.328956764291036,10,22,-0.6710432357089644,0.6710432357089644,36,38,-2
12025,Toby Greene,Greater Western Sydney,9.269519824219492,10,21,-0.7304801757805084,0.7304801757805084,37,38,-1
12983,Jye Amiss,Fremantle,9.041202156852005,8,22,1.0412021568520053,1.0412021568520053,38,53,-15
12693,Tom Sparrow,Melbourne,8.877954540989101,12,23,-3.1220454590108986,3.1220454590108986,39,32,7
13274,Jagga Smith,Carlton,8.588563644375714,12,23,-3.4114363556242857,3.4114363556242857,40,32,8
12610,Zac Bailey,Brisbane Lions,8.45012291034589,13,22,-4.54987708965411,4.54987708965411,41,30,11
12504,Tim Taranto,Richmond,8.399338942540707,10,21,-1.600661057459293,1.600661057459293,42,38,4
13104,Shaun Mannagh,Geelong,8.053488658331158,9,23,-0.9465113416688418,0.9465113416688418,43,45,-2
13193,Max Hall,St Kilda,7.610511036830625,12,23,-4.389488963169375,4.389488963169375,44,32,12
13180,Murphy Reid,Fremantle,7.369757394859515,15,21,-7.630242605140485,7.630242605140485,45,23,22
13137,Logan Morris,Brisbane Lions,7.30431133721591,9,22,-1.6956886627840904,1.6956886627840904,46,45,1
12241,Zach Merrett,Essendon,7.1929846817990075,9,23,-1.8070153182009925,1.8070153182009925,47,45,2
12331,Touk Miller,Gold Coast,7.166773846159394,9,23,-1.8332261538406058,1.8332261538406058,48,45,3
12411,George Hewett,Carlton,7.066146691301092,13,19,-5.933853308698908,5.933853308698908,49,30,19
12318,Jordan de Goey,Collingwood,6.889694794362669,8,21,-1.1103052056373306,1.1103052056373306,50,53,-3
13125,Hugo Garcia,St Kilda,6.692791431865798,7,23,-0.30720856813420205,0.30720856813420205,51,56,-5
12564,Rowan Marshall,St Kilda,6.616769123115473,5,21,1.616769123115473,1.616769123115473,52,68,-16
12237,Jarman Impey,Hawthorn,6.613519347667401,5,21,1.6135193476674008,1.6135193476674008,53,68,-15
13105,Nick Watson,Hawthorn,6.548791064484287,9,21,-2.451208935515713,2.451208935515713,54,45,9
12887,Josh Treacy,Fremantle,6.400909580549315,7,23,-0.5990904194506852,0.5990904194506852,55,56,-1
12743,John Noble,Gold Coast,6.340542344822203,7,23,-0.6594576551777971,0.6594576551777971,56,56,0
12368,Jack Steele,Melbourne,6.219852514651188,4,23,2.219852514651188,2.219852514651188,57,77,-20
12373,Caleb Daniel,North Melbourne,6.193441322290313,0,23,6.193441322290313,6.193441322290313,58,184,-126
12167,Jake Stringer,Greater Western Sydney,6.058382197330409,6,23,0.058382197330408836,0.058382197330408836,59,62,-3
12143,Lachie Whitfield,Greater Western Sydney,5.952343051096131,2,21,3.952343051096131,3.952343051096131,60,112,-52
12782,Lachie Ash,Greater Western Sydney,5.838879229690356,5,23,0.838879229690356,0.838879229690356,61,68,-7
12017,Jeremy Cameron,Geelong,5.819441353068601,4,17,1.8194413530686013,1.8194413530686013,62,77,-15
12849,Sam Berry,Adelaide,5.762768646959949,10,22,-4.237231353040051,4.237231353040051,63,38,25
12954,Connor Macdonald,Hawthorn,5.719676639792692,11,23,-5.280323360207308,5.280323360207308,64,37,27
12974,Oliver Dempsey,Geelong,5.458801996169971,6,23,-0.5411980038300293,0.5411980038300293,65,62,3
12060,Bradley Hill,St Kilda,5.411206623257016,7,23,-1.5887933767429843,1.5887933767429843,66,56,10
12573,Josh Daicos,Collingwood,5.289090237235795,2,23,3.2890902372357953,3.2890902372357953,67,112,-45
12699,Nick Blakey,Sydney,5.148737749494122,5,22,0.14873774949412244,0.14873774949412244,68,68,0
12405,Wayne Milera,Adelaide,5.084621937102234,0,18,5.084621937102234,5.084621937102234,69,184,-115
12968,Kai Lohmann,Brisbane Lions,4.903431836863046,5,23,-0.09656816313695415,0.09656816313695415,70,68,2
